unit,mean,std,n,individual_ratings
Columbus Day,2.6667,1.0283,30,"[1, 3, 3, 3, 2, 3, 3, 4, 2, 2, 2, 5, 3, 2, 4, 3, 1, 3, 4, 3, 1, 1, 4, 3, 3, 1, 3, 3, 3, 2]"
Conan O'Brien,3.3,1.0554,30,"[2, 3, 4, 4, 3, 1, 4, 3, 3, 1, 4, 3, 3, 4, 4, 1, 5, 4, 4, 3, 4, 3, 3, 4, 5, 3, 2, 4, 4, 4]"
Corey,2.8,0.8469,30,"[3, 4, 3, 3, 5, 1, 2, 3, 3, 2, 3, 3, 3, 3, 4, 1, 3, 2, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]"
Corinne,2.9,0.6074,30,"[2, 2, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 4, 3, 3, 2, 3, 2]"
Crystal,3.3448,1.1109,29,"[1, 1, 4, 4, 4, 2, 4, 3, 4, 3, 3, 5, 1, 3, 3, 3, 4, 4, 4, 3, 5, 5, 3, 5, 3, 3, 3, 3, 4]"
Curtis,2.6333,0.9279,30,"[1, 2, 3, 3, 3, 2, 3, 3, 1, 3, 4, 3, 3, 3, 1, 5, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 1, 3]"
Cy Young,3.1176,0.8796,34,"[3, 3, 3, 3, 3, 4, 5, 1, 4, 3, 2, 3, 3, 4, 4, 3, 5, 3, 3, 2, 3, 3, 3, 3, 4, 3, 2, 3, 1, 4, 3, 4, 3, 3]"
Cyclops,3.5667,1.1351,30,"[4, 4, 4, 5, 3, 4, 4, 3, 4, 2, 2, 4, 4, 4, 1, 2, 5, 5, 5, 1, 2, 4, 4, 4, 3, 4, 3, 4, 5, 4]"
Cyprus,3.4667,0.8604,30,"[4, 4, 2, 5, 3, 1, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 5, 4, 4, 3, 3, 5, 4, 4, 3, 4, 4, 3, 3, 4]"
Dale,2.4138,1.0528,29,"[1, 1, 2, 5, 2, 2, 2, 3, 1, 3, 3, 2, 1, 3, 3, 3, 3, 4, 3, 3, 1, 2, 3, 1, 1, 3, 3, 4, 2]"
Dan Aykroyd,2.9333,1.1427,30,"[3, 4, 3, 3, 4, 4, 3, 5, 4, 3, 4, 3, 3, 4, 4, 4, 1, 1, 1, 1, 3, 3, 4, 3, 1, 3, 3, 1, 2, 3]"
Daniel,3.0882,0.9651,34,"[3, 3, 3, 3, 3, 3, 5, 1, 4, 3, 1, 3, 3, 4, 3, 4, 1, 3, 3, 3, 3, 3, 2, 3, 3, 4, 5, 4, 5, 3, 3, 2, 3, 3]"
Danielle Steel,3.0,1.1447,30,"[1, 1, 4, 4, 1, 3, 3, 3, 1, 3, 4, 4, 1, 4, 4, 4, 3, 4, 4, 3, 1, 4, 3, 3, 4, 4, 2, 4, 3, 3]"
Darren,2.8333,0.8743,30,"[2, 1, 3, 3, 4, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 4, 2, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3]"
David Beckham,3.4333,1.1043,30,"[4, 5, 5, 5, 4, 1, 3, 3, 4, 3, 3, 4, 4, 3, 3, 5, 1, 2, 4, 4, 3, 2, 5, 4, 2, 3, 3, 3, 4, 4]"
David Hasselhoff,2.9,1.0939,30,"[3, 4, 4, 4, 4, 3, 3, 3, 1, 1, 3, 3, 3, 4, 4, 4, 1, 1, 3, 1, 3, 3, 4, 3, 1, 4, 4, 2, 3, 3]"
Deion Sanders,3.1471,1.019,34,"[3, 3, 4, 3, 3, 4, 5, 1, 5, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 1, 4, 3, 2, 3, 4, 4, 1, 3, 1, 4, 3, 4, 3, 3]"
Demi Moore,3.3793,1.1776,29,"[1, 3, 3, 4, 2, 4, 5, 2, 1, 4, 4, 2, 5, 4, 3, 4, 3, 4, 1, 3, 5, 4, 3, 4, 4, 4, 4, 3, 5]"
Denise,2.6667,0.8023,30,"[2, 2, 3, 3, 3, 1, 3, 3, 4, 2, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 4, 3, 3, 3, 3, 3, 2, 3, 3, 3]"
Denzel Washington,2.9655,1.2672,29,"[1, 3, 3, 2, 4, 1, 1, 3, 4, 3, 4, 4, 3, 5, 1, 5, 2, 3, 5, 3, 3, 4, 1, 1, 4, 4, 3, 3, 3]"
Derek Sanderson,2.9333,1.0807,30,"[1, 3, 3, 4, 3, 3, 3, 3, 2, 5, 5, 3, 3, 2, 1, 3, 1, 3, 3, 3, 1, 5, 3, 3, 3, 3, 3, 2, 4, 4]"
Diazepam,2.5,0.9738,30,"[1, 3, 3, 2, 1, 3, 3, 1, 3, 3, 2, 4, 3, 2, 3, 3, 4, 2, 1, 3, 2, 3, 3, 1, 2, 1, 2, 3, 4, 4]"
Diego,2.8621,0.7428,29,"[3, 4, 3, 3, 1, 3, 3, 3, 2, 4, 3, 3, 3, 1, 1, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
Diego Rivera,2.9333,0.9072,30,"[3, 4, 1, 3, 3, 3, 2, 3, 3, 2, 3, 3, 4, 3, 1, 1, 4, 4, 2, 4, 4, 3, 4, 3, 4, 3, 2, 3, 3, 3]"
Dmitri Shostakovich,2.3103,0.8906,29,"[1, 1, 3, 3, 2, 2, 1, 3, 1, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 1, 2, 3, 3, 3]"
Don,2.4828,0.9111,29,"[1, 3, 3, 3, 4, 1, 1, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 2, 1, 3, 3, 3, 1, 3]"
Don Johnson,2.7586,1.0231,29,"[3, 3, 3, 2, 3, 5, 1, 3, 3, 3, 2, 3, 3, 3, 1, 5, 3, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 4, 3]"
Donald,2.2759,0.8822,29,"[1, 3, 3, 2, 2, 1, 1, 3, 3, 3, 2, 3, 3, 3, 1, 3, 2, 3, 1, 3, 3, 1, 2, 1, 3, 3, 3, 1, 3]"
Drew,2.4483,0.9097,29,"[1, 1, 3, 3, 3, 2, 1, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3, 2, 1, 3, 3, 3, 4]"
