unit,mean,std,n,individual_ratings
BARBARIANS,4.5333,0.8604,30,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 2, 4, 2, 5]"
BARNABY,2.6667,1.2411,30,"[4, 3, 2, 2, 3, 3, 5, 1, 5, 1, 3, 3, 3, 1, 1, 5, 4, 2, 3, 3, 1, 4, 3, 1, 1, 3, 2, 3, 2, 3]"
BASICS,4.7241,0.649,29,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 3, 5]"
BEAVERS,4.7333,0.7397,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 2, 4, 5, 5]"
BENEFACTOR,4.4138,0.9456,29,"[5, 5, 4, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5, 3, 5, 2, 4, 3, 5]"
BEVERAGE,4.7931,0.4913,29,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5]"
BICEP,4.6,0.9322,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5, 5, 5, 5, 3, 4, 5, 5, 3, 5]"
BISEXUALITY,4.4333,1.04,30,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 2, 2, 2, 4, 3, 5]"
BLACKMAILER,4.4667,0.9371,30,"[4, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 2, 5, 2, 4, 3, 5]"
BLOODS,3.8966,1.2348,29,"[4, 5, 4, 4, 5, 1, 3, 5, 3, 5, 5, 3, 5, 5, 5, 3, 5, 3, 5, 3, 5, 5, 3, 2, 3, 2, 5, 2, 5]"
BONNET,4.5667,0.6789,30,"[5, 5, 5, 5, 5, 4, 5, 4, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 3, 5, 4, 4, 3, 5]"
BOOSTER,4.5,0.9002,30,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 2, 5, 3, 4, 2, 5]"
BOURBON,4.6,0.8944,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 2, 4, 3, 5]"
BOX,4.7,0.7022,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 3, 5]"
BRAG,4.7,0.7497,30,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 2, 5, 3, 5]"
BURROWING,4.4667,0.8996,30,"[4, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 2, 5, 3, 4, 3, 5]"
