word,mean,std,n
bit (horse bridal),2.969,2.008,32
bit (small amount),6.059,1.162,34
bitch,5.774,1.361,31
bitchy,5.909,1.443,33
bitter,4.941,1.494,34
bizarre,4.821,1.441,28
black,6.75,0.901,32
blackmail,5.063,1.676,32
blacksmith,3.697,2.022,33
blade,5.412,1.717,34
blame,6.057,1.218,35
bland,4.333,1.468,30
blank,5.371,1.375,35
blasphemy,3.469,2.046,32
blaze,4.5,1.736,34
blazes,3.552,2.061,29
bleak,4.515,1.861,33
blend,5.1,1.325,30
blender,4.821,1.733,28
bless,4.296,1.559,27
blessed,5.177,1.671,34
blessing,5.5,1.658,32
blessings,5.364,1.823,33
blimp,3.516,1.916,31
blind,5.424,1.538,33
bliss,5.125,1.672,32
blister,5.559,1.418,34
block,5.367,1.494,30
bloke,5.647,1.473,34
blond,5.849,1.438,33
blonde,6.235,1.031,34
blood,6.219,0.992,32
bloody,5.971,1.505,34
bloom,5.219,1.634,32
blossom,5.147,1.478,34
blouse,5.281,1.807,32
blow,5.552,1.328,29
blow (hit),5.0,1.481,31
blow (wind),5.849,1.131,33
blubber,4.344,1.779,32
blubber (cry),4.438,1.999,32
blubber (fat),3.667,1.77,33
blue,6.758,0.494,33
blueberry,5.97,1.141,33
bluff,4.355,1.404,31
blunder,3.971,1.905,35
blunt,5.179,1.465,28
board,5.486,1.422,35
board (enter),3.943,1.851,35
board (executive),4.273,1.83,33
board (wooden),4.971,1.812,35
boarded,4.323,2.022,31
boast,5.194,1.468,31
boastful,4.4,1.839,35
boat,6.397,1.113,58
body,6.793,0.55,29
boil,6.069,1.363,29
boiler,5.167,1.44,30
bold,5.656,1.725,32
bollocks,5.588,1.497,34
bomb,5.844,1.417,32
bomber,4.433,2.011,30
bond,5.382,1.534,34
bondage,4.324,2.111,34
bonds,3.794,1.745,34
bonds (money),4.265,1.737,34
bonds (restraints),4.559,2.017,34
bone,6.133,0.991,30
bones,6.177,1.361,34
bongo,3.5,1.696,32
bonnet,3.033,1.816,30
bonus,5.2,1.536,30
book,6.767,0.559,30
book (read),6.677,0.642,31
book (reserve),5.313,1.236,32
bookcase,5.906,1.308,32
boom,5.581,1.642,31
boost,5.03,1.446,33
boot,6.308,0.821,26
boot (car),6.206,1.301,34
boot (evict),3.688,1.81,32
boot (shoe),6.265,1.009,34
bored,6.412,0.732,34
boredom,6.147,1.24,34
boring,6.343,1.17,35
born,6.037,1.17,27
borrow,6.063,1.391,32
bosom,3.771,1.806,35
boss,5.97,1.66,33
botanist,3.546,2.119,33
botany,3.424,2.104,33
bother,5.938,1.248,32
bottle,6.357,0.811,28
bottom,5.875,1.495,32
bought,6.452,0.711,31
boulder,4.594,1.765,32
bounce,5.781,1.408,32
bouncy,5.324,1.622,34
bound,4.818,1.604,33
bouquet,5.059,1.814,34
bout,3.394,1.874,33
bow,4.625,1.672,32
bow (bend),4.455,1.94,33
bow (ribbon),5.909,1.357,33
bow (ship),4.0,2.252,28
bow (weapon),4.576,2.001,33
bowel,4.618,1.971,34
bowl,6.281,1.231,32
box,6.645,0.65,31
box (container),6.182,0.968,33
box (sport),4.939,1.825,33
boxer,5.531,1.732,32
boxer (dog),4.469,1.695,32
boxer (fighter),5.0,1.826,33
boxing,5.618,1.329,34
boy,6.636,0.846,33
boycott,4.276,1.617,29
bra,6.485,0.957,33
bracelet,5.706,1.775,34
bracket,4.759,1.735,29
brain,6.5,1.01,26
brainy,5.143,1.381,28
brake,5.382,1.415,34
brand,5.552,1.404,29
brass,4.148,1.715,27
brasserie,3.548,1.898,31
brassiere,3.429,2.088,35
brave,6.031,0.883,32
bravery,5.633,1.169,30
brazen,2.971,2.036,34
breach,4.281,2.004,32
bread,6.76,0.512,25
break,6.267,1.031,30
break (destroy),6.382,0.971,34
break (luck),3.849,1.777,33
break (rest),6.452,0.945,31
breakfast,6.5,1.064,34
breast,6.188,1.158,32
breasts,6.118,1.078,34
breeze,5.727,1.081,33
