word,mean,std,n
circuit,4.853,1.216,34
circular,3.647,0.871,34
circulate,3.697,0.797,33
circulation,4.139,1.004,36
circumstances,4.032,1.121,31
circus,4.121,1.037,33
citation,4.382,0.728,34
cite,3.969,0.847,32
city,4.172,0.698,29
civilian,4.406,0.996,32
civilization,4.471,1.036,34
civilized,3.424,1.102,33
clam,3.882,0.963,34
clan,5.03,1.267,33
clarinet,3.177,1.294,34
class,3.758,0.818,33
class (school),4.029,0.941,35
class (status),4.094,1.487,32
classical,3.514,1.105,35
classify,3.939,1.013,33
clause,4.455,0.782,33
claw,4.212,1.037,33
claws,3.767,1.407,30
claymore,5.333,1.247,21
clean,2.471,1.091,34
cleaner,2.909,1.264,33
cleaner (maid),1.971,1.098,34
cleaner (more clean),2.629,0.721,35
clear,3.606,0.952,33
clergy,5.226,1.007,31
clever,4.0,1.213,34
click,4.171,1.0,35
client,4.0,0.73,30
cliff,4.571,0.688,35
climate,3.862,0.571,29
climax,3.333,1.87,33
climb,4.657,0.893,35
climber,5.382,0.805,34
cling,3.353,1.054,34
clingy,2.6,1.074,35
