word,mean,std,n
cheerful,5.314,1.41,35
cheers,3.857,1.57,35
cheese,6.586,0.72,29
cheetah,6.688,0.634,32
chef,6.486,1.105,35
chemist,6.088,1.011,34
chemistry,4.788,1.737,33
chemistry (rapport),3.688,1.467,32
chemistry (science),4.313,1.81,32
cheque,6.273,0.827,33
cherry,6.618,0.971,34
chess,6.353,0.904,34
chest,6.065,0.914,31
chest (cabinet),6.371,1.017,35
chest (torso),6.235,1.059,34
chestnut,6.576,0.74,33
chew,5.219,1.536,32
chewy,4.0,1.576,33
chief,5.485,1.282,33
chihuahua,6.844,0.441,32
child,6.621,0.552,29
children,6.067,1.063,30
chime,4.758,1.776,33
chimpanzee,6.8,0.4,30
chin,6.621,0.715,29
chip,6.303,1.193,33
chipmunk,6.559,0.65,34
chips,6.552,0.854,29
chisel,6.125,1.244,32
chocolate,6.853,0.429,34
choir,6.25,1.061,32
choke,4.677,1.377,31
choked,5.059,1.748,34
choose,2.912,1.597,34
choral,3.467,1.857,30
chord,5.088,1.837,34
chose,2.844,1.679,32
Christmas,6.571,0.688,35
chubby,6.057,1.04,35
chunk,4.441,1.499,34
church,6.467,0.806,30
chute,5.375,1.833,32
cigar,6.621,0.665,29
cigarette,6.733,0.772,30
cinema,6.571,0.728,35
circle,6.767,0.559,30
circuit,4.543,1.627,35
circular,5.606,1.476,33
circulate,3.829,1.665,35
circulation,3.618,1.895,34
circumstances,2.563,1.56,32
circus,6.576,0.698,33
citation,4.121,2.011,33
cite,3.031,1.828,32
city,6.31,0.748,29
civilian,4.788,1.647,33
civilization,4.514,1.461,35
civilized,4.0,1.768,32
clam,5.886,1.686,35
clan,4.706,1.775,34
clarinet,6.647,0.636,34
class,4.886,1.389,35
class (school),5.677,1.322,34
class (status),3.281,1.754,32
classical,3.529,1.736,34
classify,2.667,1.223,33
clause,2.212,1.493,33
claw,6.25,1.09,32
claws,6.414,0.67,29
claymore,4.667,2.168,21
clean,5.206,1.549,34
cleaner,5.853,1.734,34
cleaner (maid),6.382,0.875,34
cleaner (more clean),4.057,1.866,35
clear,4.471,1.882,34
clergy,5.516,1.478,31
clever,3.886,1.737,35
click,5.257,1.518,35
client,4.156,1.66,32
cliff,6.543,0.84,35
climate,3.567,1.745,30
climax,3.879,2.129,33
climb,5.412,1.191,34
climber,5.4,1.727,35
cling,4.5,1.639,32
clingy,4.4,1.589,35
cloak,6.529,0.848,34
clock,6.448,1.003,29
clone,4.125,2.012,32
close,3.969,1.591,32
close (near),3.727,1.78,33
close (stairwell),5.849,1.329,33
closure,3.029,1.671,34
cloth,6.5,0.707,32
clothes,6.588,0.691,34
clothing,6.529,0.652,34
cloud,6.533,0.718,30
cloud (sky),6.429,0.935,35
cloud (spoil),4.063,1.731,32
cloudy,6.412,1.004,34
clove,5.667,1.491,33
clover,6.471,0.696,34
clown,6.726,0.676,62
club,5.909,1.19,33
club (card suit),5.735,1.836,34
club (disco),6.382,0.728,34
club (hit),5.594,1.518,32
club (organisation),5.486,0.937,35
club (tool),6.229,1.244,35
clue,3.529,1.882,34
clueless,2.441,1.418,34
clumsy,4.629,1.822,35
cluster,4.588,1.517,34
clutch,5.242,1.634,33
clutch (bag),6.229,1.221,35
clutch (car),6.029,1.32,35
clutch (grab),4.857,1.515,35
clutter,5.667,0.943,33
coach,5.8,1.369,35
coach (bus),6.457,1.024,35
coach (trainer),5.697,1.0,33
coarse,3.853,1.801,34
coast,6.269,0.94,67
coast (beach),6.813,0.464,32
coast (glide),4.594,1.711,32
coaster,5.735,1.521,34
coat,6.807,0.534,31
coat (cover),5.629,1.692,35
coat (jacket),6.758,0.552,33
cobble,5.265,1.521,34
cock,6.302,1.049,63
cock (bird),6.212,0.977,33
cock (dick),6.182,1.403,33
cock (tilt),4.029,1.715,35
cockerel,6.6,0.663,30
cockney,4.094,1.893,32
cockroach,6.393,1.012,28
cocktail,6.514,0.806,35
cod,5.781,1.596,32
code,4.5,1.658,32
coerce,3.742,1.796,31
coffee,6.735,0.779,34
coffin,6.412,1.061,34
coin,6.727,0.509,33
coke,6.412,0.911,34
coke (coal),4.939,1.906,33
coke (cocaine),6.088,1.38,34
coke (cola),6.758,0.889,33
cola,6.286,1.002,35
cold,5.353,1.348,34
cold (illness),5.057,1.413,35
cold (temperature),4.242,2.031,33
collage,5.629,1.071,35
