word,mean,std,n
breeze,3.5,1.312,34
brew,5.182,1.336,33
brewer,6.0,0.921,33
bribe,5.029,1.341,35
bridal,4.121,1.2,33
bridal (horse),5.969,1.358,32
bridal (marriage),4.353,1.326,34
bride,3.059,1.136,34
bridegroom,4.933,1.34,30
bridesmaid,3.657,1.393,35
bridesmaids,3.543,1.155,35
bridge,2.412,0.943,34
bridge (card game),6.088,1.172,34
bridge (structure),3.229,1.173,35
brief,4.912,1.197,34
bright,2.714,1.002,35
bright (light),2.657,1.12,35
bright (smart),3.657,1.194,35
brilliant,3.543,1.317,35
brilliant (great),3.152,1.209,33
brilliant (intelligent),3.714,1.278,35
brilliant (luminous),4.829,1.612,35
brink,5.818,1.14,33
brisk,4.794,1.301,34
broccoli,2.938,1.298,32
broken,2.882,1.051,34
bronze,3.806,1.487,36
broom,2.849,1.019,33
brother,1.677,0.629,34
brow,3.543,1.556,35
brown,1.939,0.919,33
brunch,4.743,1.36,35
brunette,4.471,1.311,34
brush,2.576,0.854,33
brushed,2.75,0.829,32
brutal,5.257,1.13,35
brute,5.5,1.289,34
bubble,2.088,1.147,34
bubbly,3.629,1.311,35
buffalo,3.571,1.129,35
bugle,5.692,1.513,26
build,2.571,0.935,35
builder,2.882,0.832,34
building,2.697,1.029,33
bulb,3.133,1.258,30
bulb (light),3.2,0.709,35
bulb (plant),4.057,1.33,35
bulge,4.677,1.344,34
bulk,5.0,1.163,34
bull,3.324,1.344,34
bulldozer,4.03,1.337,33
bullet,3.971,0.954,34
bullish,5.966,1.189,29
bully,3.286,0.848,35
bundle,3.914,1.18,35
bungalow,4.333,1.511,33
bunk,3.6,1.377,35
bunk (bed),2.714,1.002,35
bunk (truant),5.833,1.213,30
bunny,1.618,0.642,34
buoy,4.758,1.518,33
burden,5.147,1.191,34
burger,2.697,1.0,33
burglar,3.563,1.088,32
burglary,4.258,1.077,31
burgle,3.735,1.267,34
burial,4.4,1.314,35
burn,2.697,1.087,33
burner,4.629,1.173,35
burnt,2.938,0.998,32
burst,3.618,1.138,34
bury,3.529,1.46,34
bus,1.941,0.838,34
business,4.2,1.327,35
businessman,4.029,1.159,35
bust,5.571,1.129,35
bust (break),4.667,1.47,33
bust (breasts),5.657,1.286,35
bust (sculpture),5.5,1.243,34
busy,2.5,1.091,34
busybody,5.0,1.414,31
butcher,3.486,1.251,35
butler,4.086,0.937,35
butt,3.438,1.298,32
butter,2.594,0.996,32
butterfly,2.059,0.725,34
button,2.265,1.038,34
buy,2.647,0.904,34
buzzard,5.0,1.342,30
cabin,4.235,1.139,34
cabinet,3.914,1.18,35
cabinet (closet),3.909,1.443,33
cabinet (council),6.156,1.093,32
cacti,4.657,1.351,35
cactus,3.4,0.962,35
cafe,3.394,1.254,33
cake,2.057,0.715,35
cakes,2.576,1.074,33
calcium,5.086,1.296,35
calculus,6.061,1.205,33
calendar,3.314,1.063,35
calf,3.143,1.397,35
calf (cow),2.788,1.2,33
calf (muscle),4.794,1.079,34
call,2.6,1.176,35
call (shout),2.912,1.147,34
call (telephone),2.771,1.017,35
call (visit),3.794,1.389,34
calm,2.943,1.194,35
camel,3.125,0.992,32
camera,2.824,0.785,34
camouflage,4.382,1.261,34
camp,3.2,1.45,35
